28-02-2021 19:44:12: Start!
Date Time Episode Position Velocity Control 
28-02-2021 19:44:12:,0,3.1374682917148995,-0.8218654881210109,-2.8100865
28-02-2021 19:44:12:,0,3.124952375298923,-1.6765638325492447,-2.9999657
28-02-2021 19:44:12:,0,3.1040479212906735,-2.498003987559427,-2.9999998
28-02-2021 19:44:12:,0,3.0751336348944873,-3.2770653433463375,-3.0
28-02-2021 19:44:12:,0,3.0386760345038235,-4.005328446121478,-3.0
28-02-2021 19:44:12:,0,2.995221792407648,-4.67520643663115,-3.0
28-02-2021 19:44:12:,0,2.9453886627657724,-5.280095249691786,-3.0
28-02-2021 19:44:12:,0,2.889854892977593,-5.814525073660279,-3.0
28-02-2021 19:44:12:,0,2.8293471621621507,-6.274301252337605,-3.0
28-02-2021 19:44:12:,0,2.764627221839117,-6.656620497784065,-3.0
28-02-2021 19:44:12:,0,2.6964775582598506,-6.960148062022347,-3.0
28-02-2021 19:44:12:,0,2.6256865306315635,-7.18504364686461,-3.0
28-02-2021 19:44:12:,0,2.553033541984856,-7.332928082521287,-3.0
28-02-2021 19:44:12:,0,2.479274851349559,-7.406788536364562,-3.0
28-02-2021 19:44:12:,0,2.405130626938477,-7.4108262875095425,-3.0
28-02-2021 19:44:12:,0,2.3312737699394663,-7.35025688693751,-3.0
28-02-2021 19:44:12:,0,2.258320916913698,-7.231076910003789,-3.0
28-02-2021 19:44:12:,0,2.186825872940748,-7.059813906394719,-3.0
28-02-2021 19:44:12:,0,2.1172755590305705,-6.843276312755075,-2.9999998
28-02-2021 19:44:12:,0,2.050088395056072,-6.588318726821696,-2.9999995
28-02-2021 19:44:12:,0,1.9856149034531114,-6.30163416250702,-2.9999995
28-02-2021 19:44:12:,0,1.924140221216529,-5.989581138667825,-2.9999988
28-02-2021 19:44:12:,0,1.8658881473670048,-5.658049847483641,-2.9999948
28-02-2021 19:44:12:,0,1.8110263247011682,-5.312368927992773,-2.9999864
28-02-2021 19:44:12:,0,1.759672175259272,-4.957247348250565,-2.9999676
28-02-2021 19:44:12:,0,1.71189928311997,-4.59674221379763,-2.9999037
28-02-2021 19:44:12:,0,1.6677438610406785,-4.234273153113257,-2.9997978
28-02-2021 19:44:12:,0,1.627211246946624,-3.872601124969328,-2.999498
28-02-2021 19:44:12:,0,1.590282213044178,-3.513885991627638,-2.9989104
28-02-2021 19:44:12:,0,1.5569189814360627,-3.159687016853783,-2.9977722
28-02-2021 19:44:12:,0,1.5270714959231828,-2.8109106153904135,-2.995448
28-02-2021 19:44:12:,0,1.5006843379629222,-2.467733292390568,-2.9908335
28-02-2021 19:44:12:,0,1.477704305049583,-2.1295457261467567,-2.9824224
28-02-2021 19:44:12:,0,1.4580913776719342,-1.794332093982104,-2.966385
28-02-2021 19:44:12:,0,1.4418378038323016,-1.4576678060679875,-2.9352484
28-02-2021 19:44:12:,0,1.4289963707961313,-1.1118834345790098,-2.8784356
28-02-2021 19:44:12:,0,1.419725545652394,-0.7435310367433818,-2.7764616
28-02-2021 19:44:12:,0,1.4143211568161282,-0.3385897520335307,-2.6272435
28-02-2021 19:44:12:,0,1.4132898092826052,0.13103680903699189,-2.3825612
28-02-2021 19:44:12:,0,1.4174608094993646,0.701770188654909,-2.013055
28-02-2021 19:44:12:,0,1.4285358027068433,1.5113942379989787,-1.171478
28-02-2021 19:44:12:,0,1.4486249359128403,2.5043119587491964,-0.51083326
28-02-2021 19:44:12:,0,1.47936284402196,3.640892013674527,0.021033961
28-02-2021 19:44:12:,0,1.5216765945289064,4.819309933729462,0.21237002
28-02-2021 19:44:12:,0,1.5749773479301998,5.8383669184474565,-0.27655855
28-02-2021 19:44:12:,0,1.6380446638493256,6.772167938558706,-0.51075536
28-02-2021 19:44:12:,0,1.7099586534177664,7.606945934076704,-0.7792566
28-02-2021 19:44:12:,0,1.7898509731007533,8.366684596054226,-0.9471915
28-02-2021 19:44:12:,0,1.8771013504444198,9.077023685813135,-1.0010548
28-02-2021 19:44:12:,0,1.971363633025267,9.76714839839884,-0.92105997
28-02-2021 19:44:12:,0,2.0725061306917105,10.450816184192279,-0.7521485
28-02-2021 19:44:12:,0,2.180483641580377,11.131615328571351,-0.52244323
28-02-2021 19:44:12:,0,2.295242173575751,11.804266955306643,-0.2568164
28-02-2021 19:44:12:,0,2.416658157096826,12.46021741139874,0.0372666
28-02-2021 19:44:12:,0,2.544561611019363,13.098815517091419,0.38852307
28-02-2021 19:44:12:,0,2.678674277873146,13.699245610692339,0.72802603
28-02-2021 19:44:12:,0,2.818702184369335,14.279220831674444,1.1830447
28-02-2021 19:44:12:,0,2.9645880282192696,14.86843741363528,1.7898524
28-02-2021 19:44:12:,0,3.1160320531758634,15.389198071846586,2.175259
28-02-2021 19:44:12:,0,-3.011084049918818,15.79276066709969,2.4200935
28-02-2021 19:44:12:,0,-2.8517228311377636,16.047997188120384,2.5629776
28-02-2021 19:44:12:,0,-2.6906267394415444,16.141291651408554,2.6399708
28-02-2021 19:44:12:,0,-2.5294452515027803,16.067742238748814,2.6573577
28-02-2021 19:44:12:,0,-2.369749699309545,15.847655444423149,2.6800327
28-02-2021 19:44:12:,0,-2.2129191054179342,15.498946722046881,2.6843052
28-02-2021 19:44:12:,0,-2.060219319802501,15.026099130125074,2.613997
28-02-2021 19:44:12:,0,-1.9128536482895555,14.436851435318768,2.4747279
28-02-2021 19:44:12:,0,-1.771778786324992,13.772423511528872,2.3810701
28-02-2021 19:44:12:,0,-1.6374925219301408,13.083134627145833,2.3713155
28-02-2021 19:44:12:,0,-1.5102670347964846,12.363812185220652,2.2673047
28-02-2021 19:44:12:,0,-1.39033536998644,11.627342400602918,2.140686
28-02-2021 19:44:12:,0,-1.277866891535087,10.873583779400866,1.9589329
28-02-2021 19:44:12:,0,-1.1730473523706948,10.099409110223224,1.7233143
28-02-2021 19:44:12:,0,-1.0757899814983638,9.36233557076838,1.6516752
28-02-2021 19:44:12:,0,-0.9858795454858775,8.630844049917918,1.4529946
28-02-2021 19:44:13:,0,-0.9032014264133057,7.916268253445639,1.2804161
28-02-2021 19:44:13:,0,-0.8270988803578234,7.3156017262379125,1.4337757
28-02-2021 19:44:13:,0,-0.7565769704864582,6.799951183438509,1.4926032
